Size InPlaceInsertion InPlaceSelection InPlaceHeap MergeSort QuickSort
1000 7 7 1 1 1
2000 77 65 3 3 2
3000 46 6 5 4 3
4000 12 16 4 1 4
5000 23 19 3 1 5
6000 33 25 2 1 6
7000 48 36 3 2 7
8000 51 48 2 2 1
9000 65 64 2 2 1
10000 77 78 2 2 1
11000 94 93 2 3 1
12000 123 110 3 3 1
13000 131 130 3 3 1
14000 159 152 3 3 2
15000 180 177 3 3 2
16000 204 201 3 4 2
17000 228 226 3 4 2
18000 259 254 4 4 2
19000 286 283 4 4 2
20000 321 327 4 4 2
21000 356 355 4 5 3
22000 395 399 5 5 3
23000 429 430 5 5 3
24000 486 472 6 6 3
25000 520 521 5 6 3
26000 572 579 6 7 3
27000 618 639 6 7 4
28000 690 686 6 7 4
29000 745 731 7 7 4
30000 789 797 8 8 4
31000 840 828 7 7 4
32000 908 891 7 7 4
33000 938 959 8 7 4
34000 1034 998 8 8 4
35000 1097 1077 8 8 5
36000 1194 1163 8 8 5
37000 1222 1236 9 9 5
38000 1311 1298 9 10 5
39000 1429 1429 10 9 5
40000 1456 1448 9 9 5
41000 1543 1685 11 10 5
42000 1613 1582 10 10 5
43000 1699 1694 10 11 5
44000 1810 1802 11 11 6
45000 1883 1911 11 11 7
46000 1987 1983 11 11 6
47000 2098 2047 13 12 6
48000 2179 2154 14 13 8
49000 2273 2218 12 13 7
50000 2363 2349 12 14 7
51000 2442 2407 13 13 7
52000 2533 2561 13 17 8
53000 2681 2674 13 13 7
54000 2706 2752 14 16 9
55000 2856 2835 14 15 7
56000 2938 2947 15 15 9
57000 3059 3097 15 15 9
58000 3178 3247 15 15 8
59000 3279 3297 16 15 10
60000 3467 3544 16 15 8
61000 3693 3673 17 17 9
62000 3804 3657 16 18 9
63000 3822 3787 16 16 9
64000 3973 3867 17 17 9
65000 4027 4051 17 17 9
66000 4187 4206 17 17 10
67000 4287 4297 17 17 10
68000 4429 4430 18 18 10
69000 4573 4595 18 18 10
70000 4788 4715 18 20 10
71000 4865 4898 20 21 10
72000 4975 5017 20 21 10
73000 5220 5195 21 21 11
74000 5867 6114 24 23 10
75000 5668 5582 19 21 10
76000 5574 5681 25 24 10
77000 5793 5829 21 24 11
78000 5953 5824 20 21 11
79000 6039 5970 21 23 11
80000 6158 6114 22 26 11
81000 6310 6337 23 24 11
82000 6472 6441 23 24 11
83000 6699 6670 23 24 11
84000 6794 6801 22 25 12
85000 7079 6972 23 25 12
86000 7107 7076 25 26 12
87000 7549 7523 26 28 12
88000 7823 7695 24 28 12
89000 7836 8007 25 29 13
90000 8048 8036 24 29 13
91000 8239 8265 26 31 13
92000 8484 8399 25 30 13
93000 8537 8534 25 31 14
94000 8805 8819 26 34 13
95000 9007 8904 26 32 14
96000 9186 9100 26 32 14
97000 9298 9361 28 32 14
98000 9518 10564 29 33 14
99000 10343 9874 28 34 14
100000 10092 10088 29 33 14
