Size InPlaceInsertion InPlaceSelection InPlaceHeap MergeSort QuickSort
1000 12 9 2 3 2
2000 130 93 4 3 1
3000 8 9 13 6 1
4000 12 23 3 6 5
5000 40 23 3 1 6
6000 43 33 3 2 8
7000 42 38 3 2 9
8000 57 57 4 2 9
9000 91 91 3 3 15
10000 92 105 3 3 2
11000 138 103 2 2 1
12000 147 129 3 3 2
13000 171 155 3 3 2
14000 218 201 4 3 2
15000 223 215 4 4 3
16000 257 239 4 3 2
17000 274 281 4 4 2
18000 315 356 5 4 2
19000 379 357 5 5 3
20000 413 410 6 5 3
21000 421 461 5 5 3
22000 535 489 6 5 3
23000 586 526 6 6 4
24000 586 557 6 6 4
25000 624 614 7 6 4
26000 668 679 7 7 4
27000 739 720 8 7 4
28000 833 901 7 8 4
29000 834 846 7 6 4
30000 931 877 7 6 4
31000 969 1019 9 7 5
32000 1017 1088 8 8 4
33000 1142 1116 10 8 5
34000 1173 1233 9 8 5
35000 1273 1284 9 9 6
36000 1420 1479 10 9 6
37000 1565 1547 12 9 6
38000 1603 1590 11 11 6
39000 1637 1605 12 10 6
40000 1688 1710 11 10 6
41000 1733 1720 11 10 6
42000 1800 1818 11 10 6
43000 1955 1939 12 11 7
44000 1974 2044 12 11 6
45000 2091 2710 25 25 15
46000 3247 2592 13 11 8
47000 2462 2680 15 14 8
48000 2849 2814 14 13 8
49000 3006 3109 15 14 8
50000 2733 3357 32 26 11
51000 3611 3209 15 14 9
52000 3028 2944 15 14 8
53000 3278 3221 17 16 9
54000 3585 3490 17 15 11
55000 3535 3640 18 18 10
56000 3934 3588 18 15 9
57000 3847 4751 21 19 11
58000 4106 4207 18 20 11
59000 4381 3929 15 15 8
60000 3521 3808 18 18 10
61000 3785 3910 17 15 9
62000 3810 3829 18 15 9
63000 3871 3921 19 16 10
64000 4062 4639 18 16 9
65000 4133 4308 18 16 9
66000 4300 4213 17 16 10
67000 4300 4413 20 16 11
68000 4590 4758 21 17 10
69000 4734 4641 18 17 10
70000 4711 4800 19 18 10
71000 4975 5227 21 19 10
72000 5317 4988 19 19 10
73000 5197 5310 25 23 12
74000 5486 5523 21 20 10
75000 5727 5683 24 23 12
76000 6572 6255 22 26 12
77000 6051 5965 23 23 11
78000 6122 6182 25 35 16
79000 6533 6605 22 22 11
80000 6575 7061 27 28 19
81000 6751 6800 24 23 12
82000 6868 7509 26 25 15
83000 6931 6850 22 23 11
84000 7231 7275 24 23 12
85000 7336 7763 24 24 13
86000 7664 8295 27 27 12
87000 8287 8999 26 27 13
88000 8368 8578 28 28 14
89000 9258 8308 29 27 13
90000 8276 8701 29 30 14
91000 9763 8689 26 29 13
92000 8788 8938 26 28 14
93000 8762 8743 28 30 14
94000 8876 8908 27 30 13
95000 9275 9355 29 33 14
96000 9597 9829 33 38 23
97000 9835 10107 27 31 14
98000 10301 9778 27 32 15
99000 10432 11728 28 38 16
100000 12008 10750 29 32 14
